TransactionID,CustomerID,ProductID,SaleDate,SaleAmount,Quantity,Discount,TotalAmount,PaymentMethod,StoreLocation
TRANS0133,CUST203,PROD133,5/13/2021,268.7,9,0.02,52.44,Bank Transfer,Online
TRANS0134,CUST113,PROD134,5/14/2021,703.8,8,0.09,76.57,Cash,In-Store
TRANS0135,CUST028,PROD135,5/15/2021,766.49,6,0.19,649.32,Credit Card,Online
TRANS0136,CUST009,PROD136,5/16/2021,846.56,7,0.27,812.58,Bank Transfer,Online
TRANS0137,CUST206,PROD137,5/17/2021,438.53,10,0.19,110.78,Cash,Online
TRANS0138,CUST052,PROD138,5/18/2021,306.46,5,0.21,253.38,Cash,In-Store
TRANS0139,CUST020,PROD139,5/19/2021,496.58,6,0.11,968.93,PayPal,In-Store
TRANS0140,CUST028,PROD140,5/20/2021,447.64,7,0.15,342.19,Bank Transfer,In-Store
TRANS0141,CUST188,PROD141,5/21/2021,699.41,10,0.29,267.21,Credit Card,In-Store
TRANS0142,CUST094,PROD142,5/22/2021,262.25,2,0.04,792.44,Credit Card,Online
TRANS0143,CUST164,PROD143,5/23/2021,36.88,10,0.25,461.77,Cash,Online
TRANS0144,CUST166,PROD144,5/24/2021,150.43,2,0.21,48.29,Cash,Online
TRANS0145,CUST182,PROD145,5/25/2021,675.09,4,0.23,222.5,Cash,In-Store
TRANS0146,CUST092,PROD146,5/26/2021,953.17,4,0.13,204.9,PayPal,Online
TRANS0147,CUST185,PROD147,5/27/2021,128.92,2,0.28,293.25,Cash,In-Store
TRANS0148,CUST043,PROD148,5/28/2021,268.84,1,0.25,565.82,Cash,In-Store
TRANS0149,CUST163,PROD149,5/29/2021,515.13,7,0.13,934.73,Cash,Online
TRANS0150,CUST216,PROD150,5/30/2021,778.55,8,0.3,963.11,Cash,In-Store
TRANS0151,CUST080,PROD151,5/31/2021,336.81,10,0.13,113.49,Bank Transfer,In-Store
TRANS0152,CUST212,PROD152,6/1/2021,981.44,8,0.2,46.38,Credit Card,Online
TRANS0153,CUST153,PROD153,6/2/2021,823.03,9,0.03,950.32,Bank Transfer,Online
TRANS0154,CUST159,PROD154,6/3/2021,803.28,5,0.12,18.93,Credit Card,In-Store
TRANS0155,CUST067,PROD155,6/4/2021,167.92,1,0.02,896.06,PayPal,Online
TRANS0156,CUST006,PROD156,6/5/2021,617.03,3,0.14,27.97,PayPal,In-Store
TRANS0157,CUST032,PROD157,6/6/2021,102.72,2,0.29,526.98,Cash,In-Store
TRANS0158,CUST020,PROD158,6/7/2021,942.24,7,0.09,366.36,Cash,In-Store
TRANS0159,CUST198,PROD159,6/8/2021,167.59,3,0.01,173.39,Cash,In-Store
TRANS0160,CUST136,PROD160,6/9/2021,874.87,5,0.02,54.41,Credit Card,In-Store
TRANS0161,CUST115,PROD161,6/10/2021,11.02,8,0.29,953.25,Credit Card,Online
TRANS0162,CUST229,PROD162,6/11/2021,931.64,3,0.08,859.62,Cash,Online
TRANS0163,CUST051,PROD163,6/12/2021,323.84,1,0.01,234.7,Bank Transfer,Online
TRANS0164,CUST007,PROD164,6/13/2021,456,8,0.25,369.11,Bank Transfer,Online
TRANS0165,CUST029,PROD165,6/14/2021,718.31,1,0.27,913.74,PayPal,Online
TRANS0166,CUST221,PROD166,6/15/2021,511.79,4,0.14,137.08,Cash,Online
TRANS0167,CUST165,PROD167,6/16/2021,670.51,10,0.18,224.91,Cash,In-Store
TRANS0168,CUST081,PROD168,6/17/2021,842.32,8,0,794.8,Credit Card,In-Store
TRANS0169,CUST214,PROD169,6/18/2021,546.06,5,0.05,608.95,Credit Card,Online
TRANS0170,CUST145,PROD170,6/19/2021,63.85,8,0.01,334.1,PayPal,In-Store
TRANS0171,CUST019,PROD171,6/20/2021,478.72,9,0.17,32.18,PayPal,Online
TRANS0172,CUST160,PROD172,6/21/2021,565.17,9,0.07,996.63,PayPal,In-Store
TRANS0173,CUST009,PROD173,6/22/2021,298.79,3,0,230.92,Bank Transfer,Online
TRANS0174,CUST161,PROD174,6/23/2021,512.05,2,0.08,456.52,PayPal,Online
TRANS0175,CUST066,PROD175,6/24/2021,745.33,6,0.13,947.17,PayPal,In-Store
TRANS0176,CUST062,PROD176,6/25/2021,220.92,10,0.05,433.19,Cash,Online
TRANS0177,CUST106,PROD177,6/26/2021,166.51,3,0.2,654.81,Cash,In-Store
TRANS0178,CUST223,PROD178,6/27/2021,644.84,9,0.06,920.74,Bank Transfer,Online
TRANS0179,CUST137,PROD179,6/28/2021,922.54,1,0.08,395.61,Bank Transfer,Online
TRANS0180,CUST033,PROD180,6/29/2021,190.46,9,0.04,686.81,Bank Transfer,In-Store
TRANS0181,CUST030,PROD181,6/30/2021,770.04,1,0.25,159.84,Bank Transfer,In-Store
TRANS0182,CUST163,PROD182,7/1/2021,287.49,1,0.06,953.27,Cash,Online
TRANS0183,CUST056,PROD183,7/2/2021,338.61,9,0.18,336.73,PayPal,In-Store
TRANS0184,CUST042,PROD184,7/3/2021,268.33,9,0.07,915.92,Credit Card,In-Store
TRANS0185,CUST206,PROD185,7/4/2021,514.6,3,0.13,28.44,Cash,Online
TRANS0186,CUST128,PROD186,7/5/2021,643.8,3,0.08,963.53,Bank Transfer,In-Store
TRANS0187,CUST070,PROD187,7/6/2021,884.7,7,0.21,433.21,Cash,In-Store
TRANS0188,CUST054,PROD188,7/7/2021,476.79,7,0.08,726.73,PayPal,Online
TRANS0189,CUST158,PROD189,7/8/2021,360.79,8,0.12,476.85,PayPal,Online
TRANS0190,CUST150,PROD190,7/9/2021,237.18,5,0.15,317.88,Bank Transfer,In-Store
TRANS0191,CUST206,PROD191,7/10/2021,819.2,6,0.17,893.84,Credit Card,In-Store
TRANS0192,CUST218,PROD192,7/11/2021,403.44,6,0.17,737.57,Credit Card,In-Store
TRANS0193,CUST178,PROD193,7/12/2021,978.29,4,0.11,656.68,Cash,Online
TRANS0194,CUST115,PROD194,7/13/2021,376.72,4,0.17,792.92,Cash,Online
TRANS0195,CUST090,PROD195,7/14/2021,896.57,6,0.18,253.03,Credit Card,Online
TRANS0196,CUST037,PROD196,7/15/2021,166.45,4,0.13,872.57,Cash,Online
TRANS0197,CUST042,PROD197,7/16/2021,461.25,2,0.03,41.48,Cash,In-Store
TRANS0198,CUST217,PROD198,7/17/2021,911.59,9,0.1,891.46,Bank Transfer,In-Store
TRANS0199,CUST151,PROD199,7/18/2021,415.61,1,0.11,390.19,Credit Card,Online
TRANS0200,CUST128,PROD200,7/19/2021,949.53,6,0.18,256.75,Bank Transfer,In-Store
TRANS0201,CUST184,PROD201,7/20/2021,51.23,10,0.27,916.12,Credit Card,Online
TRANS0202,CUST047,PROD202,7/21/2021,819.34,7,0.22,543.15,PayPal,In-Store
TRANS0203,CUST012,PROD203,7/22/2021,556.22,1,0.29,326.21,PayPal,In-Store
TRANS0204,CUST067,PROD204,7/23/2021,564.41,6,0.05,347.47,PayPal,In-Store
TRANS0205,CUST185,PROD205,7/24/2021,318.66,9,0.1,138.43,Credit Card,Online
TRANS0206,CUST220,PROD206,7/25/2021,947.91,4,0.05,543.51,PayPal,In-Store
TRANS0207,CUST204,PROD207,7/26/2021,456.77,8,0.21,956.54,PayPal,Online
TRANS0208,CUST083,PROD208,7/27/2021,451.03,8,0.27,872.63,Credit Card,Online
TRANS0209,CUST192,PROD209,7/28/2021,926.18,7,0.27,533.87,Bank Transfer,Online
TRANS0210,CUST162,PROD210,7/29/2021,978.98,10,0.11,587.29,Cash,In-Store
TRANS0211,CUST037,PROD211,7/30/2021,843.31,9,0.12,617.33,Cash,In-Store
TRANS0212,CUST033,PROD212,7/31/2021,702.22,1,0.26,813.12,Credit Card,In-Store
TRANS0213,CUST042,PROD213,8/1/2021,869.93,4,0.07,309.62,Cash,In-Store
TRANS0214,CUST066,PROD214,8/2/2021,60.33,6,0.17,56.74,Credit Card,In-Store
TRANS0215,CUST188,PROD215,8/3/2021,383.17,4,0.2,321.33,PayPal,Online
TRANS0216,CUST049,PROD216,8/4/2021,516.2,9,0.23,263.47,Cash,Online
TRANS0217,CUST070,PROD217,8/5/2021,135.27,2,0.01,806.4,Cash,Online
TRANS0218,CUST157,PROD218,8/6/2021,474.16,1,0.21,915.99,PayPal,Online
TRANS0219,CUST133,PROD219,8/7/2021,444.33,6,0.09,911.73,Bank Transfer,In-Store
TRANS0220,CUST164,PROD220,8/8/2021,500.69,1,0.05,741.59,Credit Card,Online
TRANS0221,CUST134,PROD221,8/9/2021,543.46,3,0.07,576.72,Bank Transfer,Online
TRANS0222,CUST095,PROD222,8/10/2021,887.67,9,0.27,387.51,PayPal,Online
TRANS0223,CUST026,PROD223,8/11/2021,605.43,3,0.04,935.27,Cash,Online
TRANS0224,CUST130,PROD224,8/12/2021,481.16,9,0.07,63.61,PayPal,In-Store
TRANS0225,CUST039,PROD225,8/13/2021,375.25,8,0.02,202.65,PayPal,In-Store
TRANS0226,CUST122,PROD226,8/14/2021,334.67,9,0.27,202.14,PayPal,Online
TRANS0227,CUST109,PROD227,8/15/2021,796.33,1,0.01,559.55,Credit Card,Online
TRANS0228,CUST216,PROD228,8/16/2021,99.56,10,0.18,107.87,Cash,Online
TRANS0229,CUST027,PROD229,8/17/2021,384.69,10,0.05,637.24,PayPal,Online
TRANS0230,CUST073,PROD230,8/18/2021,458.76,3,0.29,778.98,PayPal,Online
